Posted,Title,URL
2026-06-17,Improvements to the Web for AI Should Benefit All Users,https://cloudfour.com/thinks/improvements-to-web-for-ai-should-benefit-all-users/
2026-06-17,[BUG] LLM biased against accessible code · Issue #56079 · anthropics/claude-code,https://github.com/anthropics/claude-code/issues/56079
,Open web vs AI: what can W3C do?,https://hidde.blog/web-ai-breakout/
,Christian Liebel on web app manifests (LinkedIn),https://www.linkedin.com/posts/christianliebel_webapps-manifest-appmanifest-share-74570464109961
2026-06-17,Canvas-ing the Web – Eric's Archived Thoughts,https://meyerweb.com/eric/thoughts/2026/04/27/canvas-ing-the-web/
,microsoft/VibeVoice,https://simonwillison.net/2026/Apr/27/vibevoice/
,Pencil.dev,https://www.pencil.dev/
,Bad news: AI will fix all WebAIM WAVE findings (LinkedIn),https://www.linkedin.com/posts/jason-taylor-37279315b_bad-news-ai-will-fix-all-webaim-wave-found-
,29th Annual Accessing Higher Ground (WebAIM LinkedIn),https://www.linkedin.com/posts/webaim_29th-annual-accessing-higher-ground-nov-activity-74472594
,This year's WebAIM Million report (WebAIM LinkedIn),https://www.linkedin.com/posts/webaim_this-years-webaim-million-report-has-been-activity-7444816
,Vitaly Friedman on UX Accessibility (LinkedIn),https://www.linkedin.com/posts/vitalyfriedman_ux-accessibility-activity-7435591939632168960-de8X
,Axe-con: Accessibility in the End of Deterministic Design (Deque),https://www.deque.com/axe-con/sessions/accessibility-in-the-end-of-deterministic-design-again/
,Designing AI for 100%: Why Accessibility Must Be the Starting Point,https://www.linkedin.com/pulse/designing-ai-100-why-accessibility-must-be-starting-point
,Accessible faux-nested interactive controls - Piccalilli,https://piccalil.li/blog/accessible-faux-nested-interactive-controls/
,"plasticmind on Design Systems, AI & Civic Tech (LinkedIn)",https://www.linkedin.com/posts/plasticmind_designsystem-ai-civictech-share-7420295564430450688-
,The tech AI bubble burst (The Guardian),https://www.theguardian.com/us-news/ng-interactive/2026/jan/18/tech-ai-bubble-burst-reverse-centaur
,Polishing your typography with line height units | WebKit,https://webkit.org/blog/16831/line-height-units/
,Cyd Stumpel – Creative Developer,https://cydstumpel.nl/
,Web Directions AI Engineer CfP,https://webdirections.org/ai-engineer/cfps.php
,HTML tools – Simon Willison,https://simonwillison.net/2025/Dec/10/html-tools/
,Zeldman on the F-off Contact Page (LinkedIn),https://www.linkedin.com/posts/zeldman_the-f-off-contact-page-nic-chan-activity-7403750210675384
,ARIA live timing – Max Design,https://www.maxdesign.com.au/articles/aria-live-timing.html
,Toasts – GitHub Primer Accessibility,https://primer.style/accessibility/toasts/
,Unit Tests: The Greatest Lie We Tell Ourselves,https://dev.to/varshithvhegde/unit-tests-the-greatest-lie-we-tell-ourselves-2ehd
,Measuring What Matters: Offline Evaluation of GitHub MCP Server,https://github.blog/ai-and-ml/generative-ai/measuring-what-matters-how-offline-evaluation-of-github-mcp-server-works
,axe-core issue #3909 (Deque),https://github.com/dequelabs/axe-core/issues/3909
,ACM DL: Research paper (10.1145/3663547.3759755),https://dl.acm.org/doi/10.1145/3663547.3759755
,Jake Archibald on Bluesky,https://bsky.app/profile/jakearchibald.com/post/3m467jidelk2r
,webmachinelearning/webmcp (GitHub),https://github.com/webmachinelearning/webmcp
,The Majority AI View – Anil Dash,https://www.anildash.com/2025/10/17/the-majority-ai-view/
,"OpenAI, ARIA, and SEO: Making the Web Worse – Adrian Roselli",https://adrianroselli.com/2025/10/openai-aria-and-seo-making-the-web-worse.html
,Mankato Grows Up: Keeping ScOR #15,https://buttondown.com/KeepingScOR/archive/mankato-grows-up-keeping-scor-15/
,enterkeyhint – MDN Web Docs,https://developer.mozilla.org/en-US/docs/Web/HTML/Reference/Global_attributes/enterkeyhint
,WAI-WCAG-EM – W3C GitHub,https://w3c.github.io/wai-wcag-em/
,Lloyd Kilpatrick on Bluesky,https://bsky.app/profile/lloydi.com/post/3m2tyhj2j2b2v
,WebKit Features in Safari 26.0,https://webkit.org/blog/17333/webkit-features-in-safari-26-0/
,GitHub Annotation Toolkit – Designer Checklist,https://github.com/github/annotation-toolkit/blob/main/checklists/designer-checklist.md
,GitHub Annotation Toolkit – Engineering Checklist,https://github.com/github/annotation-toolkit/blob/main/checklists/engineering-checklist.md
,Bringing Back Parallax with Scroll-Driven CSS Animations,https://thedigitalinsider.com/bringing-back-parallax-with-scroll-driven-css-animations/
,Taking a Shot at the Double Focus Ring Problem Using Modern CSS – Piccalilli,https://piccalil.li/blog/taking-a-shot-at-the-double-focus-ring-problem-using-modern-css/
,One-Click Decrapulator – a11y-tools.com,https://a11y-tools.com/bookmarklets/#one-click-decrapulator
,WAI Image Decision Tree – W3C,https://www.w3.org/WAI/tutorials/images/decision-tree/
,ARIA Accessible Name and Description – W3C APG,https://www.w3.org/WAI/ARIA/apg/practices/names-and-descriptions/#accessiblenamecalculation
,Screen Reader HTML Support Look-Up App – html5accessibility.com,https://html5accessibility.com/stuff/2025/09/08/screenreader-html-support-look-up-app/
,CodePen by Chris Coyier,https://codepen.io/editor/chriscoyier/pen/0198772a-a759-7dc4-b8fc-1dfdbed39fdb
,Basic keyboard shortcut support for focused links – Eric Bailey,https://ericwbailey.design/published/basic-keyboard-shortcut-support-for-focused-links/
,Jake Archibald on Bluesky,https://bsky.app/profile/jakearchibald.com/post/3lxjret46wc2g
,"Prompting Is A Design Act: How To Brief, Guide And Iterate With AI – Smashing Magazine",https://www.smashingmagazine.com/2025/08/prompting-design-act-brief-guide-iterate-ai/
,Phi-3 Small Language Model (SLM) in a PHP app with Ollama and LLPhant,https://blog.medhat.ca/2025/01/phi-3-small-language-model-slm-in-php.html
,Frontrunners 2026 CfP – PaperCall,https://www.papercall.io/frontrunners2026
,Diego González-Zúñiga on Redirection Tools (LinkedIn),https://www.linkedin.com/posts/diekus_redirection-tools-activity-7348768177993998337-_i6G
,Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity – METR,https://metr.org/blog/2025-07-10-early-2025-ai-experienced-os-dev-study/
,Accessibility – Assisted.site,https://assisted.site/accessibility
,Light Dark View Transition With Clip Path – Nerdy.dev,https://nerdy.dev/light-dark-view-transition-with-clip-path
,ffconf CfP,https://ffconf.org/articles/cfp/
,Introducing NLWeb: Bringing conversational interfaces directly to the web,https://news.microsoft.com/source/features/company-news/introducing-nlweb-bringing-conversational-interfaces-directly-to-the-web/
,humanwhocodes/social-changelog (GitHub),https://github.com/humanwhocodes/social-changelog
,margin-trim – WebKit Blog,https://webkit.org/blog/16854/margin-trim/
,Publish to WebComponents.org,https://www.webcomponents.org/publish
,Lloyd Watson on a11y (LinkedIn),https://www.linkedin.com/posts/lloydi_a11y-accessibility-development-activity-7275528923453521920
,Why Agents Are Stupid & What We Can Do About It (arXiv),https://arxiv.org/pdf/2412.07892
,Isomorphic Web Components – Jake Lazaroff,https://jakelazaroff.com/words/isomorphic-web-components/
,Platforms Are Competitions – Infrequently Noted,https://infrequently.org/2024/10/platforms-are-competitions/
,David Fowler on Bluesky,https://bsky.app/profile/davidfowl.com/post/3l723jg5m2r2n
,ACM DL Book (10.1145/3304087),https://dl.acm.org/action/showBook?doi=10.1145%2F3304087
,The handleEvent method is the best way to handle events in web components – Go Make Things,https://gomakethings.com/the-handleevent-method-is-the-absolute-best-way-to-handle-events-in-web-components/
,See and Point – Sara Joy,http://sarajoy.dev/blog/see-and-point
,"Data Whisperer, Pinocchio, and Sentient Design – Big Medium",https://bigmedium.com/ideas/data-whisperer-pinocchio-sentient-design.html
,Developing Components: Publishing – Open Web Components,https://open-wc.org/guides/developing-components/publishing/
,The Way Out – Infrequently Noted,https://infrequently.org/2024/08/the-way-out/
,CSSWG August 2024 – OddBird,https://www.oddbird.net/2024/08/13/csswg-08/
,Next.js v13 Multilingual Server Components,https://medium.com/@kitagolda/next-js-v13-multilingual-server-components-adding-internationalization
,Caching in React – How to Use useMemo and useCallback,https://www.freecodecamp.org/news/caching-in-react/
,Léonie Watson on Making a Positive Change: PDF to HTML (LinkedIn),https://www.linkedin.com/posts/lwatson_making-a-positive-change-pdf-to-html-activity-72254325946
,Polling in React Using the useInterval Custom Hook,https://blog.bitsrc.io/polling-in-react-using-the-useinterval-custom-hook-e2bcefda4197
,Pivoting from React to Native DOM APIs: A Real-World Example,https://thenewstack.io/pivoting-from-react-to-native-dom-apis-a-real-world-example/
,Christian Heilmann on BBC GEL Text Descriptions (LinkedIn),https://www.linkedin.com/posts/christianheilmann_bbc-gel-how-to-write-text-descriptions-activity-721
,New Web Dev – Baldur Bjarnason,https://www.baldurbjarnason.com/2024/new-web-dev/
,It's About Time I Tried to Explain What Progressive Enhancement Actually Is – Piccalilli,https://piccalil.li/blog/its-about-time-i-tried-to-explain-what-progressive-enhancement-actually-is/
,Feedback on a Pagination Pattern – Adrian Roselli,https://adrianroselli.com/2024/07/feedback-on-a-pagination-pattern.html
,How to Use Container Queries Now – web.dev,https://web.dev/blog/how-to-use-container-queries-now
,Synchronized Web Storage with Signals – DEV Community,https://dev.to/this-is-angular/synchronized-web-storage-with-signals-5b05
,next-view-transitions (GitHub – shuding),https://github.com/shuding/next-view-transitions/blob/main/src/transition-context.tsx
,Léonie Watson on ID24 2024 CfP (LinkedIn),https://www.linkedin.com/posts/lwatson_id24-2024-call-for-presentations-activity-7198017084822278
,WebAxe on a11y.info (Mastodon),https://elk.zone/a11y.info/@WebAxe/112408582434494538
,Web Components from early 2024 – Chris Burnell,https://chrisburnell.com/note/early-2024-web-components/
,Long Alt – Adrian Roselli,https://adrianroselli.com/2024/04/long-alt.html
,Netlify Blobs – Overview,https://docs.netlify.com/blobs/overview/
,Netlify Image CDN – Overview,https://docs.netlify.com/image-cdn/overview/
,Navigating the Challenges and Opportunities of Synthetic Voices – OpenAI,https://openai.com/blog/navigating-the-challenges-and-opportunities-of-synthetic-voices
,Posting via the Bluesky API – Bluesky Docs,https://www.docs.bsky.app/blog/create-post
,Studio Tokens,https://studiostokens.azurewebsites.net/
,Handling Death Gracefully in Digital Experiences – Cloud Four,https://cloudfour.com/thinks/handling-death-gracefully-in-digital-experiences/
,markdown-it-image-size (GitHub),https://github.com/boyum/markdown-it-image-size
,Can generative AI help write accessible code? – TetraLogical,https://tetralogical.com/blog/2024/02/12/can-generative-ai-help-write-accessible-code/
,shikijs/twoslash (GitHub),https://github.com/shikijs/twoslash
,Composition – Scott Jehl,https://scottjehl.com/posts/composition/
,12 Modern CSS One-Line Upgrades – ModernCSS.dev,https://moderncss.dev/12-modern-css-one-line-upgrades/
,Creating Progressive Enhanced CodePen Links and Embeds,https://alvaromontoro.com/blog/68048/creating-progressive-enhanced-codepen-links-and-embeds
,Practical CSS Scroll Snapping – CSS-Tricks,https://css-tricks.com/practical-css-scroll-snapping/
,Removing List Styles Without Affecting Semantics – Manuel Matuzović,https://www.matuzo.at/blog/2023/removing-list-styles-without-affecting-semantics
,What Does It Mean for Web Browsers to Have a Baseline – The New Stack,https://thenewstack.io/what-does-it-mean-for-web-browsers-to-have-a-baseline/
,Sånn får du til progressive enhancement: «Aldri vært enklere!» – Kode24,https://www.kode24.no/artikkel/sann-far-du-til-progressive-enhancement-aldri-vaert-enklere/80215532
,Blinded By the Light DOM – Eric's Archived Thoughts,https://meyerweb.com/eric/thoughts/2023/11/01/blinded-by-the-light-dom/
,How to Dehumanize Accessibility with AI – Ashlee M Boyer,https://ashleemboyer.com/blog/how-to-dehumanize-accessibility-with-ai/
,Auth0 by Okta Integration – Netlify Docs,https://docs.netlify.com/integrations/auth0-by-okta-integration/
,Practical Accessibility,https://practical-accessibility.today/
,How I Set Up VSCode For Recording a Screencast – DEV Community,https://dev.to/5t3ph/how-i-set-up-vscode-for-recording-a-screencast-be7
,Aaron Gustafson's Speaker Profile @ Sessionize,https://sessionize.com/aaron-gustafson/
,How to Deploy Eleventy to GitHub Pages With GitHub Actions,https://www.rockyourcode.com/how-to-deploy-eleventy-to-github-pages-with-github-actions/
,View Transitions Break Incremental Rendering – Eric Portis,https://ericportis.com/posts/2023/view-transitions-break-incremental-rendering/
,Progressive Enhancement: Making Your Website Better for All Users,https://medium.com/theymakedesign/progressive-enhancement-536a064edbff
,APCA Readability Criterion (ARC),https://www.readtech.org/ARC/
,Brainstorm questions – Mule Design,https://www.muledesign.com/blog/brainstorm-questions
,Blue Skies Over Mastodon – Erin Kissane,https://erinkissane.com/blue-skies-over-mastodon
,"Dialogs, modality and popovers seem similar. How are they different? – Hidde de Vries",https://hidde.blog/dialog-modal-popover-differences/
,The WebAIM Million – 2023 Report,https://webaim.org/projects/million/
,Semi-automating a Substack newsletter with an Observable notebook – Simon Willison,https://simonwillison.net/2023/Apr/4/substack-observable/
,Three ways AI chatbots are a security disaster – MIT Technology Review,https://www.technologyreview.com/2023/04/03/1070893/three-ways-ai-chatbots-are-a-security-disaster/
,"So long, Twitter API, and thanks for all the fish – snarfed.org",https://snarfed.org/2023-04-03_so-long-twitter-api-and-thanks-for-all-the-fish
,@stefan on front-end.social (Mastodon),https://elk.zone/front-end.social/@stefan/110117172307719974
,Proposal: The Interactivity API – Make WordPress,https://make.wordpress.org/core/2023/03/30/proposal-the-interactivity-api-a-better-developer-experience-in-building-interactive-blocks/
,@stephaniewalter on front-end.social (Mastodon),https://elk.zone/front-end.social/@stephaniewalter/110118026769046267
,Multiple Choice Questions – Learn Prompting,https://learnprompting.org/docs/applied_prompting/mc_tutorial
,@estelle on front-end.social (Mastodon),https://elk.zone/front-end.social/@estelle/109991884149979666
,3D Book – CodePen by Max Böck,https://codepen.io/mxbck/pen/XWMrMOp
,"We come to bury ChatGPT, not to praise it – Dan McQuillan",https://www.danmcquillan.org/chatgpt.html
,Generative AI is the tech industry's Hail Mary pass – Software Crisis,https://softwarecrisis.dev/letters/ai-is-a-hail-mary-pass/
,How ChatGPT actually works – AssemblyAI,https://www.assemblyai.com/blog/how-chatgpt-actually-works/
,a11y-webring.club – A webring for digital accessibility practitioners,https://a11y-webring.club/
,10 Ways Designers and Researchers Can Meaningfully Engage With Disabled People in 2023,https://alexhaagaard.medium.com/10-ways-designers-and-researchers-can-meaningfully-engage-with-disabled-people-in-2023
,"The Performance Inequality Gap, 2023 – Infrequently Noted",https://infrequently.org/2022/12/performance-baseline-2023/
,Building Resilient Organizations – Forge Organizing,https://forgeorganizing.org/article/building-resilient-organizations
,Recognizing Cultural Bias in AI – POCIT,https://peopleofcolorintech.com/articles/recognizing-cultural-bias-in-ai/
,The Writings of a Privileged Mediocre White Man – Todd Libby,https://toddl.dev/posts/the-writings-of-a-privileged-mediocre-white-man/
,Astro & View Transitions API Demo,https://astro-view-transitions.netlify.app/
,What's New in WCAG 2.2 – W3C,https://www.w3.org/WAI/standards-guidelines/wcag/new-in-22/
,"Browsers, JSON, and FormData – Jim Nielsen",https://blog.jim-nielsen.com/2022/browsers-json-formdata/
,Spicy Sections – CSS-Tricks,https://css-tricks.com/spicy-sections/
,UI Animations with the Shared Element Transitions API – Smashing Magazine,https://www.smashingmagazine.com/2022/10/ui-animations-shared-element-transitions-api-part2/
,Building a Like Button with Cloudflare Workers,https://andrewwalpole.com/blog/building-a-like-button-with-cloudflare-workers/
,Beautify Your GitHub Profile – CSS-Tricks,https://css-tricks.com/beautify-github-profile/
,Favicon Best Practices – IconMap.io,https://iconmap.io/blog
,Dropping Support For IE11 Is Progressive Enhancement,https://blog.carlmjohnson.net/post/2020/time-to-kill-ie11/
,Exploring @property and its Animating Powers – CSS-Tricks,https://css-tricks.com/exploring-property-and-its-animating-powers/
,"Progressive Enhancement reading list, draft 1 – QuirksMode",http://www.quirksmode.org/blog/archives/2021/02/progressive_enh.html
,Loading and replacing HTML parts with HTML – Just Markup,https://justmarkup.com/notes/2020-12-28-loading-and-replacing-html-parts-with-html/
,"Responsible, Conditional Loading – CSS-Tricks",https://css-tricks.com/responsible-conditional-loading/
,Adactio: Journal—Clean advertising,https://adactio.com/journal/17658
,Alt-Text as Poetry,https://alt-text-as-poetry.net/
,HTML Forms: How (and Why) to Prevent Double Form Submissions – Bram.us,https://www.bram.us/2020/11/04/preventing-double-form-submissions/
,Core Web Vital Tooling – CSS-Tricks,https://css-tricks.com/core-web-vital-tooling/
,"min(), max(), and clamp(): Three Logical CSS Functions to Use Today",https://una.im/2020/10/14/min-max-clamp/
,Kinopio,https://kinopio.club/
,The Pursuit of Appiness – Infrequently Noted,https://infrequently.org/2020/09/the-pursuit-of-appiness/
,A declarative Web Share API – Adactio,https://adactio.com/journal/17398
,Tone of Voice and User Experience – UX Magazine,https://uxmag.com/articles/tone-of-voice-and-user-experience
,CMD+Z for Git is Here – CSS-Tricks,https://css-tricks.com/cmdz-for-git-is-here/
,For Wide Review: Making Content Usable for People with Cognitive and Learning Disabilities – W3C,https://www.w3.org/blog/news/archives/8643
,An Introduction To Stimulus.js – Smashing Magazine,https://www.smashingmagazine.com/2020/07/introduction-stimulusjs/
,Ten modern layouts in one line of CSS,https://una.im/1linelayouts/
,Platform Adjacency Theory – Infrequently Noted,https://infrequently.org/2020/06/platform-adjacency-theory/
,Feature-Policy – MDN Web Docs,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Feature-Policy
,Navigating the Seattle startup ecosystem – GeekWire,https://www.geekwire.com/2025/navigating-the-seattle-startup-ecosystem-a-guide-for-microsoft-and-amazon-execs/
,Why I'm Betting Against AI Agents in 2025 (Despite Building Them),https://utkarshkanwat.com/writing/betting-against-agents/
,Transform Digital Accessibility from Reactive to Proactive – Deque,https://www.deque.com/blog/transform-digital-accessibility-from-a-reactive-break-fix-to-a-proactive-strategy/
,What Does a Board of Directors Do? – Anil Dash,https://www.anildash.com/2024/06/20/dash-board/
,Dona Sarkar on AI (LinkedIn),https://www.linkedin.com/posts/donasarkar_ai-ugcPost-7123192838695071745-vILF
,Rest of World – Reporting Global Tech Stories,https://restofworld.org/
,Dear White Male Leaders Of Any Tech Organization – POCIT,https://peopleofcolorintech.com/articles/dear-white-male-leaders-of-any-tech-organization/
